"person_id","obs_id","sex","site","age_estimated","height_cm","weight_kg"
21648,"nlwrb","m","Moseten",41.9,164,76.1
3634,"399cj","m","Moseten",58.2,162.2,74.8
7661,"ou8mo","f","Moseten",52.6,146.3,68.8
8940,"ydg82","f","Moseten",38.8,151.5,53.4
16477,"5jci1","m","Moseten",46.7,159,57.2
31422,"t0xre","f","Moseten",42.2,149.9,52.6
16323,"xp2n7","m","Moseten",60.2,152,63.1
29130,"tau26","f","Moseten",63,146.8,58.3
20116,"hh979","f","Moseten",45.9,147.1,48.8
9204,"x1s1d","f","Moseten",40.2,161.3,64.4
3648,"adoos","m","Moseten",60.6,157,58.6
30232,"tp3gb","m","Moseten",56.2,156.6,51
28897,"djjmz","f","Moseten",53.5,147,43.6
5616,"463j4","f","Moseten",66,144.7,47.9
29308,"axjyy","f","Moseten",41.4,151.5,66.2
14299,"9i5s2","m","Moseten",41.7,157,56.1
16347,"4w6wm","f","Moseten",59.4,146.2,NA
28227,"qs2vx","m","Moseten",44.4,161,59.1
28961,"ixbpg","f","Moseten",44.6,151.5,69.9
14225,"mogka","m","Moseten",42.5,164.5,64.6
5887,"p6esa","f","Moseten",60.2,145.2,52.2
29145,"97q7j","m","Moseten",47.9,154.8,53.5
22349,"1ho4r","f","Moseten",41.4,153.1,54.4
20124,"5sszq","m","Moseten",77.2,150.4,68.4
1283,"zd8k0","f","Moseten",69.5,143.4,45.5
15437,"x7fih","m","Moseten",47.6,157.2,49.6
16746,"jg3oh","f","Moseten",50.6,150.4,51.3
956,"iv6p4","m","Moseten",70.2,159.1,57.3
13396,"gdpxj","f","Moseten",59.6,148.2,55.2
8,"ach9m","m","Moseten",46.6,170,71.9
16711,"z7t67","f","Moseten",39.8,150.6,43.6
2801,"nqjiv","m","Moseten",69.7,160.7,56.9
594,"czpmd","f","Moseten",61.3,151,72.4
7927,"ytzx2","f","Moseten",55.7,148.1,50.1
3473,"68jb4","f","Moseten",66.9,150.8,51.3
8050,"rg7k2","m","Moseten",44.6,166.6,69.8
4,"xnn28","f","Moseten",40.1,146.2,48.9
21339,"cabcl","f","Moseten",43.4,142.6,46.8
23133,"c0t6b","m","Moseten",47.2,162.8,71.6
10785,"5unpb","m","Moseten",49.1,161.8,67.8
14043,"v0rwz","f","Moseten",43.7,149.2,76
17490,"mbizd","m","Moseten",54.5,159.7,71.2
6898,"fenlw","m","Moseten",54.3,165.6,61.9
19628,"pdis3","f","Moseten",44.1,148,55.2
25729,"xic6c","m","Moseten",49.1,159.4,65.3
2115,"zunb5","f","Moseten",78.4,NA,54
1826,"val4r","f","Moseten",51.9,155.4,63.3
22190,"86dsf","m","Moseten",63.1,164.2,61.2
18243,"n4bk0","f","Moseten",52.6,151.2,57.8
28617,"urw67","m","Moseten",60.8,152.7,49.1
23029,"9wiwk","f","Moseten",59.8,145.5,52.9
30747,"dh983","f","Moseten",57,146.2,49.6
28262,"knh81","m","Moseten",61.7,154.9,54.3
30586,"9spmr","m","Moseten",42.7,164.3,66.6
23239,"e8mcj","f","Moseten",33.7,151,67.3
7947,"rhgir","f","Moseten",44.8,147.7,45.3
17954,"gd6g3","f","Moseten",57.5,140.2,49.9
14005,"cmwuo","f","Moseten",46.7,155.1,60.8
5934,"ugcsv","m","Moseten",46.8,168.9,67.8
5521,"3nfc3","m","Moseten",40.2,160,84.3
32242,"hmwsn","f","Moseten",54.5,143.3,65.1
20346,"wgntm","m","Moseten",58.4,152.3,61.7
11814,"lud7q","m","Moseten",57.3,157.5,52
8777,"vctcz","f","Moseten",54.5,149.6,62.4
16834,"xreny","m","Moseten",73.9,160.5,77.7
15613,"ayz6z","f","Moseten",64.9,148.8,53.3
19260,"dz34k","f","Moseten",43.2,152.1,51.8
21982,"m0w3a","f","Moseten",48.5,152.2,64.2
15474,"3jg90","m","Moseten",46.8,164.2,61
29298,"e1h1c","f","Moseten",55,150.5,59.5
21846,"4wgzv","m","Moseten",60.5,158.8,63.4
30891,"e2buu","f","Moseten",44.7,155.5,67.1
24355,"pffeo","m","Moseten",47.6,161.2,56.9
16579,"wvmj6","m","Moseten",61.3,151.4,55.4
16241,"6dcc5","f","Moseten",52,150.1,49.5
6739,"46yls","m","Moseten",52.2,152.2,58.7
3746,"47xxi","f","Moseten",46.6,149.2,47.4
12642,"2t4ws","m","Moseten",40.4,168.5,68.6
6489,"j0v03","m","Moseten",53,161.8,64.3
3483,"0ggnt","m","Moseten",39.8,167.9,59.2
23162,"beed7","f","Moseten",38.2,145,64.5
19905,"lxmuc","f","Moseten",42.3,154.8,80.2
10138,"oeagc","f","Moseten",45.5,151.2,63.8
20776,"qsaah","f","Moseten",42.9,160,NA
215,"jmbge","m","Moseten",49.5,161.5,55.9
9989,"4pxhm","f","Moseten",56.2,152.2,58.1
9134,"8baz9","m","Moseten",78.5,157.3,56.1
18667,"pk7qw","f","Moseten",69.2,144.7,64.1
13073,"yhs80","m","Moseten",47.9,166.1,84.1
10769,"ksbj7","m","Moseten",54.3,154,58.7
29965,"wqmdl","f","Moseten",45.6,148.1,56.6
31836,"zrxuy","m","Moseten",52.6,158.3,71.8
31570,"8bbhy","f","Moseten",51,148.1,66.2
9351,"b06aa","m","Moseten",58.3,151,48.3
14467,"w6myw","m","Moseten",67.6,157.5,60.1
16955,"go6rn","f","Moseten",58.9,140.1,36.8
8432,"w1tg2","f","Moseten",39.7,150.3,67.1
27381,"dt1jf","m","Moseten",62.6,157,57.3
29809,"xmviq","m","Moseten",70.6,162,59.8
1016,"iq1yu","f","Moseten",64,148.5,55.2
534,"83qgf","f","Moseten",62,146.4,41
5094,"9kz1i","m","Moseten",39.5,161,56.4
24099,"xiq8z","f","Moseten",71.6,147.6,44
1431,"k3et4","m","Moseten",77.2,147.7,48.4
3048,"02211","f","Moseten",87.9,143.6,39.7
18859,"ivos3","m","Moseten",55.1,158.9,55.6
25986,"x696n","f","Moseten",45.9,152.5,85
13677,"2mky9","f","Moseten",55.5,150.1,64
11124,"gshee","m","Moseten",64.2,163.5,67
4413,"lh2ji","f","Moseten",67.1,144.8,98.3
4325,"0s83r","m","Moseten",67.2,165.5,77.7
5439,"d1iy1","f","Moseten",46,145.7,75.7
13285,"4bu2j","f","Moseten",51.7,153.1,67.3
27048,"b8y7b","m","Moseten",57,161.2,54.9
20772,"cx5zt","f","Moseten",72.9,143.7,45.4
30350,"k2j3s","f","Moseten",50.9,152.7,75.7
27468,"sf4p2","m","Moseten",76.4,158.6,66.8
21853,"4mmg2","m","Moseten",52.5,158.4,62.5
23360,"mmht6","f","Moseten",72.8,139.9,56.6
16832,"yu796","m","Moseten",67.5,161.5,60.7
8473,"nlzal","f","Moseten",59.2,153.3,60.6
8192,"4h3os","f","Moseten",49.2,144.5,53.8
16013,"614ud","f","Moseten",62.7,144.2,39
11626,"2pi43","f","Moseten",59.3,146.8,46.6
20048,"84bmo","m","Moseten",62.5,153.3,53.4
23967,"xu5aw","m","Moseten",59.4,158.6,59.3
19569,"56aul","m","Moseten",52.9,157.8,63.1
1154,"51svc","m","Moseten",51.1,159.5,60.2
8535,"vqfrk","m","Moseten",45.1,156.3,58.5
709,"wyj76","f","Moseten",64.4,154.4,48.8
18795,"nbdu9","f","Moseten",69.8,147.9,43
26065,"ih781","m","Moseten",72.4,158.6,57.9
17597,"neij2","m","Moseten",44.8,164.9,83
5155,"hdz41","f","Moseten",67.5,144.4,73.3
23645,"ius64","m","Moseten",63.7,159.2,72.9
25747,"1626a","f","Moseten",59.2,152.7,46.5
27536,"41ozz","f","Moseten",40.1,153.3,83.9
22435,"p79gv","f","Moseten",45.7,143.5,58.2
26517,"je817","m","Moseten",48.5,161.2,62.6
11535,"63gqt","m","Moseten",56.8,163,65.4
1308,"yblee","m","Moseten",45.1,159,57.7
21128,"v8q85","m","Moseten",49.3,170.6,76.7
3917,"0f9rd","f","Moseten",42.1,150.2,50.6
5339,"52tk0","f","Moseten",52,147.6,63.6
168,"nz2rc","m","Moseten",61.1,150.7,47.6
16185,"8irjp","f","Moseten",69.7,152.5,69.2
27131,"odj52","m","Moseten",49.8,153.3,60.7
17574,"kjlf4","m","Moseten",47.4,163.4,66.8
5550,"1jaem","f","Moseten",48.4,152.4,62.9
14682,"gc9tc","m","Moseten",47.4,153.3,56
30714,"0xtvv","f","Moseten",60.3,153.3,78.8
2751,"ivhqo","m","Moseten",54.7,157.4,65.4
23658,"gqpuj","f","Moseten",39.8,150,62.2
7726,"52xxt","m","Moseten",44.8,166,73.3
1694,"4w5rz","f","Moseten",43.1,157.4,53.7
19892,"ancqf","m","Moseten",60.3,159.7,60.6
29836,"ld9jz","f","Moseten",56.2,148,57.7
10212,"5hful","m","Moseten",65.7,160.5,58.7
31904,"nb4e4","m","Moseten",44.5,157.2,66.4
9415,"b57dj","m","Moseten",44.3,163.6,75.1
1040,"udm8q","m","Moseten",50.6,161.5,63
26056,"rfkw2","m","Moseten",43.9,159,55.2
16,"c60hm","f","Moseten",49,154.5,63.8
28529,"oyvts","m","Moseten",61.1,163.3,75.3
18298,"2wjbv","m","Moseten",58.7,160,59.2
15293,"m972p","f","Moseten",58.4,148.7,63.5
7714,"bo79h","m","Moseten",63.9,157.5,48.7
10597,"wpg40","f","Moseten",45.8,150.7,67.6
3116,"0hrjg","f","Moseten",56.5,157.1,67.7
11988,"kssgb","m","Moseten",63,161.1,71.6
8074,"70m8s","f","Moseten",62.2,153.4,54.3
18880,"gdx9e","m","Moseten",62.7,154.3,52.4
9892,"fsahz","m","Moseten",55.6,171.3,68.8
9650,"33xd0","f","Moseten",69.5,149.2,69.7
2060,"zwgq1","m","Moseten",55.2,155.4,64.9
6188,"becpu","f","Moseten",55.7,145.5,45.7
10452,"m5yzv","m","Moseten",53.7,157.7,50.1
27575,"18tne","m","Moseten",51.7,162,66.1
32327,"90arx","f","Moseten",43.7,151.2,76.7
30284,"dmh8x","m","Moseten",45.9,164.3,62.4
24750,"wtkyf","m","Moseten",47.4,163.1,65.9
32314,"8yl3n","f","Moseten",38.7,151.5,55.2
5144,"lry4j","m","Moseten",39.1,165.7,81.9
2839,"ip2is","f","Moseten",39.7,154.8,NA
11454,"lpqg6","m","Moseten",38.6,156.4,65
19588,"mqunn","m","Moseten",48.7,164.6,70.5
6305,"gq6wn","m","Moseten",42.7,158,66.1
8827,"3evt2","m","Moseten",83.3,157.1,67.3
30194,"4t96b","f","Moseten",81.8,146.7,54.7
26933,"5544d","m","Moseten",41.7,162.2,78.1
27912,"g7zz5","m","Moseten",53,157.8,59.8
13363,"7aga1","f","Moseten",39.7,148.8,57.5
16224,"vhgea","f","Moseten",61.3,138.5,47.6
9465,"k9qcm","m","Moseten",78,157.4,51.8
11362,"4sqzu","m","Moseten",77.8,152.7,55.9
30444,"js9hg","m","Moseten",66,157.4,65.5
26818,"1038s","m","Moseten",68,163,56.7
28218,"fcrv1","m","Moseten",60.5,168.8,NA
15443,"nloft","f","Moseten",53.4,156.2,71.3
18683,"45160","f","Moseten",66.5,146.4,53
24031,"sw72z","f","Moseten",46.3,152.9,80.9
25380,"7l8ul","f","Moseten",65.5,144.6,56.5
10734,"46t1q","m","Moseten",75,151,47.6
13955,"my36c","m","Moseten",68,162.7,61.8
30271,"4tkge","m","Moseten",53,167.3,75.2
16218,"rvgdv","m","Moseten",64,156,NA
5869,"jiv1s","f","Moseten",60.3,149.5,56.4
23651,"bopfp","m","Moseten",41,172.5,76.2
17088,"xchdv","f","Moseten",61.7,144.2,37.7
27818,"ak519","f","Moseten",60,144.8,73.3
3013,"ts6bs","m","Moseten",70,160.7,53.7
15381,"48bxb","f","Moseten",60.9,140.5,55.5
19759,"5ctuj","f","Moseten",66,143.3,40.3
12388,"vzxx7","f","Moseten",71.3,139.2,40.6
21280,"3xu4w","m","Moseten",43.3,157,51.8
30840,"flr4l","f","Moseten",58,156.3,75.6
12072,"8v3dw","f","Moseten",51.5,154,62.5
24811,"ezemz","f","Moseten",55.1,156.6,59.9
20978,"v8wkl","m","Moseten",58,162.4,61.6
23503,"5fpxj","m","Moseten",47.6,167,78.6
12005,"sv1k9","f","Moseten",43,156,62.2
14971,"pwz96","f","Moseten",66,142.8,42
16214,"kzt61","m","Moseten",65.9,162.2,66
1649,"lz4e9","f","Moseten",49.2,140.2,66.9
22236,"q9qhs","f","Moseten",46.3,152.4,53.5
12866,"t3yjz","f","Moseten",69,146.4,59.7
19825,"7roi5","m","Moseten",62,153.3,71
14022,"cjmqb","m","Moseten",47.2,167,94.1
7392,"hhntk","f","Moseten",46,144.2,42.5
26439,"ej3we","f","Moseten",62.8,146.5,55.7
16455,"cdli5","f","Moseten",59,147.1,56.4
17216,"tivp0","m","Moseten",57.7,164,70.6
17791,"pi4q7","f","Moseten",81,147.7,63.6
22325,"fctxy","m","Moseten",65,170.5,74.6
25027,"kwcg7","f","Moseten",50.2,151,58
23730,"8u876","m","Moseten",63.8,160.5,63.1
15616,"yksu7","m","Moseten",52,162.1,66
7334,"9sjqn","m","Moseten",40,162.5,62
25360,"8ixan","f","Moseten",58,150.1,77.7
876,"laajb","m","Moseten",54,158.3,73
29352,"z4lh5","m","Moseten",51.5,156.7,78.6
18691,"m5du6","m","Moseten",40,150.2,62.3
18433,"e90sl","f","Moseten",50.9,155,62.2
12320,"xupgw","f","Moseten",67.6,142.3,60
9402,"bcan2","f","Moseten",48.2,147.7,70.3
3024,"284mu","m","Moseten",66,160.2,67.2
18539,"9cxkw","f","Moseten",50.3,152.2,59.4
362,"wpjdr","m","Moseten",59.5,158.6,68.8
28028,"e0yl5","m","Moseten",47.8,167.7,75.6
10083,"t9wu2","f","Moseten",74,152.6,73.5
19305,"kean8","m","Moseten",59.9,151.5,61.8
19957,"gufhn","f","Moseten",47.7,145,57
15143,"gcyw0","f","Moseten",43,150,81.8
19186,"y219v","m","Moseten",24,177.2,81.7
28583,"a02ns","m","Moseten",50.4,152.6,47.7
27070,"3da4s","m","Moseten",40.3,166.6,82.1
18391,"spqmv","m","Moseten",41,155,65.4
8197,"9rl83","f","Moseten",45.3,146.4,61.3
19109,"2ripm","m","Moseten",62.1,164.5,62.7
