DeID,Gender,BirthYear,BirthMonthapprox,YearAnth,SeasonAnth,SpecificSeasonAnth,Heightcm,Weightkg
AA010103,m,2005,12,2017,Dry,1,,
AA010103,m,2005,12,2017,Rainy,2,,
AA010103,m,2005,12,2018,Dry,3,145,45.8
AA010103,m,2005,12,2018,Rainy,4,152,49
AA010103,m,2005,12,2019,Dry,5,152,50
AA010103,m,2005,12,2019,Rainy,6,158.3,55
AA010107,f,2009,12,2017,Dry,1,,
AA010107,f,2009,12,2017,Rainy,2,125,27
AA010107,f,2009,12,2018,Dry,3,127.5,27
AA010107,f,2009,12,2018,Rainy,4,129,30
AA010107,f,2009,12,2019,Dry,5,131,31
AA010107,f,2009,12,2019,Rainy,6,134.5,35
AA010109,m,2004,1,2017,Dry,1,139.5,28
AA010109,m,2004,1,2017,Rainy,2,142,24
AA010109,m,2004,1,2018,Dry,3,143.5,28
AA010109,m,2004,1,2018,Rainy,4,147.5,33
AA010109,m,2004,1,2019,Dry,5,150,37
AA010109,m,2004,1,2019,Rainy,6,154.6,35
AA010110,m,2007,4,2017,Dry,1,122.5,12
AA010110,m,2007,4,2017,Rainy,2,125.2,22
AA010110,m,2007,4,2018,Dry,3,127,21
AA010110,m,2007,4,2018,Rainy,4,130.3,24
AA010110,m,2007,4,2019,Dry,5,132,25
AA010110,m,2007,4,2019,Rainy,6,133.3,23
AA010111,f,2012,8,2017,Dry,1,91.5,12
AA010111,f,2012,8,2017,Rainy,2,94,13
AA010111,f,2012,8,2018,Dry,3,97,12
AA010111,f,2012,8,2018,Rainy,4,100.3,14
AA010111,f,2012,8,2019,Dry,5,103,16
AA010111,f,2012,8,2019,Rainy,6,106,14
AA010112,f,2018,2,2017,Dry,1,,
AA010112,f,2018,2,2017,Rainy,2,,
AA010112,f,2018,2,2018,Dry,3,,
AA010112,f,2018,2,2018,Rainy,4,,
AA010112,f,2018,2,2019,Dry,5,62,6
AA010112,f,2018,2,2019,Rainy,6,,
AA010115,m,2004,4,2017,Dry,1,146,37
AA010115,m,2004,4,2017,Rainy,2,149.5,38.2
AA010115,m,2004,4,2018,Dry,3,152.6,40
AA010115,m,2004,4,2018,Rainy,4,,46
AA010115,m,2004,4,2019,Dry,5,160,46
AA010115,m,2004,4,2019,Rainy,6,162.3,50
AA010116,m,2019,1,2017,Dry,1,,
AA010116,m,2019,1,2017,Rainy,2,,
AA010116,m,2019,1,2018,Dry,3,,
AA010116,m,2019,1,2018,Rainy,4,,
AA010116,m,2019,1,2019,Dry,5,48,4
AA010116,m,2019,1,2019,Rainy,6,,
AA010118,f,2008,4,2017,Dry,1,132,26
AA010118,f,2008,4,2017,Rainy,2,136,25.4
AA010118,f,2008,4,2018,Dry,3,139.4,30
AA010118,f,2008,4,2018,Rainy,4,,
AA010118,f,2008,4,2019,Dry,5,143.5,35
AA010118,f,2008,4,2019,Rainy,6,145,35
AA010119,f,2016,12,2017,Dry,1,75,10
AA010119,f,2016,12,2017,Rainy,2,80,10
AA010119,f,2016,12,2018,Dry,3,,
AA010119,f,2016,12,2018,Rainy,4,,
AA010119,f,2016,12,2019,Dry,5,90,15
AA010119,f,2016,12,2019,Rainy,6,,
AA010123,m,2004,3,2017,Dry,1,164.1,55
AA010123,m,2004,3,2017,Rainy,2,,55
AA010123,m,2004,3,2018,Dry,3,,56.7
AA010123,m,2004,3,2018,Rainy,4,,56
AA010123,m,2004,3,2019,Dry,5,,60
AA010123,m,2004,3,2019,Rainy,6,,
AA010124,m,2006,10,2017,Dry,1,138,39
AA010124,m,2006,10,2017,Rainy,2,142,36
AA010124,m,2006,10,2018,Dry,3,144.5,39.1
AA010124,m,2006,10,2018,Rainy,4,150,42
AA010124,m,2006,10,2019,Dry,5,153,49
AA010124,m,2006,10,2019,Rainy,6,,48
