"person_id","obs_id","sex","site","age_estimated","height_cm","weight_kg","obs_counts"
357185,"s2jba","f","SE_Ecuador",26.7,NA,48,9
357185,"vxln8","f","SE_Ecuador",26.99,NA,47,9
357185,"odttj","f","SE_Ecuador",27.1,146.4,49.8,9
357185,"5k0yk","f","SE_Ecuador",27.82,147,54.7,9
357185,"0nrnb","f","SE_Ecuador",27.91,NA,55,9
357185,"kl41a","f","SE_Ecuador",28.01,147.5,56.7,9
357185,"nw8ec","f","SE_Ecuador",28.18,NA,52,9
357185,"u5w1m","f","SE_Ecuador",28.5,147.1,52.4,9
357185,"izz8c","f","SE_Ecuador",29.06,NA,49.4,9
357196,"m1o8j","f","SE_Ecuador",15.99,147.5,55.3,1
357197,"xsyn8","f","SE_Ecuador",20.57,NA,51,6
357197,"bfbla","f","SE_Ecuador",21.38,NA,53,6
357197,"5lj9x","f","SE_Ecuador",21.76,NA,50,6
357197,"55gt2","f","SE_Ecuador",23.27,NA,55,6
357197,"1vexx","f","SE_Ecuador",23.95,NA,53,6
357197,"jaqna","f","SE_Ecuador",24.15,152.75,57.3,6
357198,"4kfqe","f","SE_Ecuador",16.82,NA,42,6
357198,"vorfe","f","SE_Ecuador",16.92,NA,46,6
357198,"a227p","f","SE_Ecuador",17.57,NA,45,6
357198,"z1ym8","f","SE_Ecuador",18.45,NA,45,6
357198,"ik15b","f","SE_Ecuador",18.56,144.5,45.6,6
357198,"8v6vp","f","SE_Ecuador",19.47,145,48.1,6
357200,"awhar","m","SE_Ecuador",7.09,113,20,2
357200,"6ac9f","m","SE_Ecuador",12.06,135.75,34.3,2
357201,"8m7ch","f","SE_Ecuador",0.58,NA,7,23
357201,"iwglo","f","SE_Ecuador",1.04,NA,7,23
357201,"zy0u5","f","SE_Ecuador",1.21,NA,7,23
357201,"oe9en","f","SE_Ecuador",1.28,NA,8,23
357201,"ujd1x","f","SE_Ecuador",1.42,NA,8,23
357201,"dd9vz","f","SE_Ecuador",1.46,NA,9,23
357201,"nau14","f","SE_Ecuador",1.51,NA,9,23
357201,"lq4zu","f","SE_Ecuador",1.59,NA,9,23
357201,"wan6s","f","SE_Ecuador",1.64,NA,9,23
357201,"we0c8","f","SE_Ecuador",1.74,NA,9,23
357201,"zswpz","f","SE_Ecuador",2.23,NA,9.5,23
357201,"rfsuw","f","SE_Ecuador",2.5,NA,9,23
357201,"agh9d","f","SE_Ecuador",2.86,NA,10,23
357201,"hxbk5","f","SE_Ecuador",2.95,NA,11,23
357201,"fuxpb","f","SE_Ecuador",3.13,87,12,23
357201,"435d6","f","SE_Ecuador",3.16,89,10,23
357201,"bgn1w","f","SE_Ecuador",3.29,89,12,23
357201,"d9b16","f","SE_Ecuador",3.65,90,13,23
357201,"9gxqr","f","SE_Ecuador",3.65,91,13,23
357201,"dg9ga","f","SE_Ecuador",3.67,92,13,23
357201,"5qdz4","f","SE_Ecuador",3.86,93,13,23
357201,"rmhpr","f","SE_Ecuador",3.88,94,12,23
357201,"njo5h","f","SE_Ecuador",4.22,99,13,23
357202,"9f7f7","f","SE_Ecuador",26.66,NA,54,2
357202,"7c8p1","f","SE_Ecuador",29.46,143,48.1,2
357203,"4nvxk","f","SE_Ecuador",29.58,151.5,53.4,1
357206,"4uv1r","f","SE_Ecuador",2.28,NA,10,8
357206,"smost","f","SE_Ecuador",3.65,NA,11,8
357206,"jmcxh","f","SE_Ecuador",4.41,NA,14,8
357206,"lhj7h","f","SE_Ecuador",4.47,NA,15,8
357206,"z9dtb","f","SE_Ecuador",6.12,NA,18,8
357206,"vsk1u","f","SE_Ecuador",7.3,111,20.8,8
357206,"wc9oo","f","SE_Ecuador",8.21,117.7,24,8
357206,"iass2","f","SE_Ecuador",12.58,145.4,42.9,8
357207,"vxtz7","m","SE_Ecuador",12.95,132,26.9,1
357208,"vlna7","f","SE_Ecuador",12.99,134.5,41.5,1
357216,"pr3ij","f","SE_Ecuador",11.05,NA,30,5
357216,"ooe98","f","SE_Ecuador",11.17,135.5,32.4,5
357216,"by2ke","f","SE_Ecuador",11.68,140,34.6,5
